date;SP500;NASDAQ
2023-03-20-15-13;3940.26;12525.08
2023-03-20-15-14;3940.55;12526.31
2023-03-20-15-15;3941.23;12528.53
2023-03-20-15-16;3940.55;12526.29
2023-03-20-15-17;3941.12;12527.72
2023-03-20-15-18;3940.14;12525.46
2023-03-20-15-19;3942.37;12533.94
2023-03-20-15-20;3944.20;12536.92
2023-03-20-15-21;3942.21;12531.35
2023-03-20-15-22;3938.73;12519.01
2023-03-20-15-23;3939.38;12519.38
2023-03-20-15-24;3940.63;12521.50
2023-03-20-15-25;3941.69;12525.30
2023-03-20-15-26;3944.43;12532.69
2023-03-20-15-27;3945.85;12538.65
2023-03-20-15-28;3944.44;12532.53
2023-03-20-15-29;3945.63;12536.83
2023-03-20-15-30;3944.83;12531.70
2023-03-20-15-31;3945.74;12535.58
2023-03-20-15-32;3947.49;12539.01
2023-03-20-15-33;3947.93;12539.80
2023-03-20-15-34;3948.11;12540.86
2023-03-20-15-35;3947.69;12541.31
2023-03-20-15-36;3947.25;12538.97
2023-03-20-15-37;3948.22;12542.80
2023-03-20-15-38;3946.80;12537.96
2023-03-20-15-39;3948.24;12542.99
2023-03-20-15-40;3947.62;12542.91
2023-03-20-15-41;3947.88;12545.62
2023-03-20-15-42;3948.53;12548.30
2023-03-20-15-43;3950.05;12551.53
2023-03-20-15-44;3949.13;12549.35
2023-03-20-15-45;3947.38;12541.72
2023-03-20-15-46;3948.68;12549.57
2023-03-20-15-47;3949.82;12551.61
2023-03-20-15-48;3951.65;12559.23
2023-03-20-15-49;3951.05;12556.91
2023-03-20-15-50;3952.12;12562.90
2023-03-20-15-51;3955.16;12573.59
2023-03-20-15-52;3954.25;12572.98
2023-03-20-15-53;3952.78;12565.59
2023-03-20-15-54;3952.77;12563.99
2023-03-20-15-55;3951.47;12560.75
2023-03-20-15-56;3949.95;12556.23
2023-03-20-15-57;3950.02;12558.18
2023-03-20-15-58;3950.87;12559.42
2023-03-20-15-59;3951.38;12562.55
2023-03-20-16-00;3951.58;12562.61
2023-03-20-16-01;3951.55;12562.61
2023-03-20-16-02;3951.55;12562.61
2023-03-20-16-03;3951.55;12562.61
2023-03-20-16-04;3951.57;12562.61
2023-03-20-16-05;3951.57;12562.61
2023-03-20-16-06;3951.57;12562.61
2023-03-20-16-07;3951.57;12562.61
2023-03-20-16-08;3951.57;12562.61
2023-03-20-16-09;3951.57;12562.61
2023-03-20-16-10;3951.57;12562.61
2023-03-20-16-11;3951.57;12562.61
2023-03-20-16-12;3951.57;12562.61
2023-03-20-16-13;3951.57;12562.61
2023-03-20-16-14;3951.57;12562.61
2023-03-20-16-15;3951.57;12562.61
2023-03-20-16-16;3951.57;12562.61
2023-03-20-16-17;3951.57;12562.61
2023-03-20-16-18;3951.57;12562.61
2023-03-20-16-19;3951.57;12562.61
2023-03-20-16-20;3951.57;12562.61
2023-03-20-16-21;3951.57;12562.61
2023-03-20-16-22;3951.57;12562.61
2023-03-20-16-23;3951.57;12562.61
2023-03-20-16-24;3951.57;12562.61
2023-03-20-16-25;3951.57;12562.61
2023-03-20-16-26;3951.57;12562.61
2023-03-20-16-27;3951.57;12562.61
2023-03-20-16-28;3951.57;12562.61
2023-03-20-16-29;3951.57;12562.61
2023-03-20-16-30;3951.57;12562.61
2023-03-20-16-31;3951.57;12562.61
2023-03-20-16-32;3951.57;12562.61
2023-03-20-16-33;3951.57;12562.61
2023-03-20-16-34;3951.57;12562.61
2023-03-20-16-35;3951.57;12562.61
2023-03-20-16-36;3951.57;12562.61
2023-03-20-16-37;3951.57;12562.61
2023-03-20-16-38;3951.57;12562.61
2023-03-20-16-39;3951.57;12562.61
2023-03-20-16-40;3951.57;12562.61
2023-03-20-16-41;3951.57;12562.61
2023-03-20-16-42;3951.57;12562.61
2023-03-20-16-43;3951.57;12562.61
2023-03-20-16-44;3951.57;12562.61
2023-03-20-16-45;3951.57;12562.61
2023-03-20-16-46;3951.57;12562.61
2023-03-20-16-47;3951.57;12562.61
2023-03-20-16-48;3951.57;12562.61
2023-03-20-16-49;3951.57;12562.61
2023-03-20-16-50;3951.57;12562.61
2023-03-20-16-51;3951.57;12562.61
2023-03-20-16-52;3951.57;12562.61
2023-03-20-16-53;3951.57;12562.61
2023-03-20-16-54;3951.57;12562.61
2023-03-20-16-55;3951.57;12562.61
2023-03-20-16-56;3951.57;12562.61
2023-03-20-16-57;3951.57;12562.61
2023-03-20-16-58;3951.57;12562.61
2023-03-20-16-59;3951.57;12562.61
2023-03-21-09-00;3951.57;12562.61
2023-03-21-09-01;3951.57;12562.61
2023-03-21-09-02;3951.57;12562.61
2023-03-21-09-03;3951.57;12562.61
2023-03-21-09-04;3951.57;12562.61
2023-03-21-09-05;3951.57;12562.61
2023-03-21-09-06;3951.57;12562.61
